Movie_Name,Country,Rating,Gross,year
Unbreakable,['USA'],7.2,$95.00M,2000
Gladiator,"['USA', 'UK']",8.5,$187.67M,2000
Requiem for a Dream,['USA'],8.4,$3.61M,2000
Snatch,"['UK', 'USA']",8.3,$30.09M,2000
Cast Away,['USA'],7.7,$233.63M,2000
Memento,['USA'],8.5,$25.53M,2000
American Psycho,['USA'],7.6,$15.05M,2000
The Beach,"['USA', 'UK']",6.6,$39.78M,2000
X-Men,['USA'],7.4,$157.30M,2000
Remember the Titans,['USA'],7.8,$115.65M,2000
The Cell,"['USA', 'Germany']",6.3,$61.28M,2000
"O Brother, Where Art Thou?","['UK', 'France', 'USA']",7.8,$45.51M,2000
The Patriot,"['USA', 'Germany']",7.1,$113.33M,2000
Almost Famous,['USA'],7.9,$32.52M,2000
Scary Movie,['USA'],6.2,$157.00M,2000
Erin Brockovich,['USA'],7.3,$125.55M,2000
Coyote Ugly,['USA'],5.6,$60.79M,2000
How the Grinch Stole Christmas,"['USA', 'Germany']",6.0,$260.03M,2000
Pitch Black,['USA'],7.1,$39.24M,2000
The Emperor's New Groove,['USA'],7.3,$89.30M,2000
Gone in Sixty Seconds,['USA'],6.5,$101.64M,2000
Final Destination,"['Canada', 'USA']",6.7,$53.30M,2000
Traffic,"['USA', 'Germany']",7.6,$124.11M,2000
Road Trip,['USA'],6.5,$68.53M,2000
Bring It On,['USA'],5.9,$68.35M,2000
You Can Count on Me,['USA'],7.7,$9.18M,2000
Little Nicky,['USA'],5.3,$39.44M,2000
"Crouching Tiger, Hidden Dragon","['Taiwan', 'Hong Kong', 'USA', 'China']",7.9,$128.07M,2000
Miss Congeniality,['USA'],6.2,$106.81M,2000
Charlie's Angels,"['USA', 'Germany']",5.5,$125.31M,2000
Scream 3,['USA'],5.5,$89.14M,2000
Battlefield Earth,['USA'],2.4,$21.47M,2000
What Women Want,['USA'],6.4,$182.81M,2000
Hollow Man,"['USA', 'Germany']",5.7,$73.21M,2000
Love & Basketball,['USA'],7.2,$27.44M,2000
Quills,"['UK', 'Germany', 'USA']",7.4,$7.06M,2000
Frequency,['USA'],7.4,$44.98M,2000
Mission: Impossible II,"['USA', 'Germany']",6.1,$215.40M,2000
Chocolat,"['UK', 'USA']",7.3,$71.31M,2000
The Family Man,['USA'],6.7,$75.76M,2000
Billy Elliot,"['UK', 'France']",7.7,$21.99M,2000
Boiler Room,['USA'],7.0,$16.94M,2000
"Me, Myself & Irene",['USA'],6.5,$90.57M,2000
The Flintstones in Viva Rock Vegas,['USA'],3.6,$35.23M,2000
Amores Perros,['Mexico'],8.1,$5.38M,2000
Battle Royale,['Japan'],7.7,,2000
Next Friday,['USA'],6.1,$57.18M,2000
The Road to El Dorado,['USA'],6.9,$50.80M,2000
In the Mood for Love,"['Hong Kong', 'China']",8.1,$2.73M,2000
High Fidelity,"['UK', 'USA']",7.5,$27.28M,2000
What Lies Beneath,['USA'],6.6,$155.37M,2000
U-571,"['France', 'USA']",6.6,$77.09M,2000
The Gift,['USA'],6.7,$11.99M,2000
Center Stage,['USA'],6.7,$17.17M,2000
Where the Heart Is,['USA'],6.8,$33.77M,2000
Tra(sgre)dire,['Italy'],5.6,,2000
Meet the Parents,['USA'],7.0,$166.23M,2000
Bedazzled,"['USA', 'Germany']",6.0,$37.88M,2000
Pay It Forward,['USA'],7.2,$33.51M,2000
Thirteen Days,['USA'],7.3,$34.57M,2000
Vertical Limit,"['USA', 'Germany']",5.9,$68.47M,2000
Men of Honor,['USA'],7.2,$48.81M,2000
The Perfect Storm,['USA'],6.4,$182.62M,2000
Dancer in the Dark,"['Denmark', 'Spain', 'Germany', 'Netherlands', 'Italy', 'USA', 'UK', 'France', 'Sweden', 'Finland', 'Iceland', 'Norway']",8.0,$4.16M,2000
Chicken Run,"['UK', 'USA', 'France']",7.0,$106.79M,2000
Dinosaur,['USA'],6.5,$137.75M,2000
Sexy Beast,"['UK', 'Spain']",7.3,$6.94M,2000
Malèna,"['Italy', 'USA']",7.5,$3.43M,2000
The Replacements,['USA'],6.5,$44.74M,2000
Shaft,"['Germany', 'USA']",5.9,$70.33M,2000
The Whole Nine Yards,['USA'],6.7,$57.26M,2000
"Dude, Where's My Car?",['USA'],5.5,$46.73M,2000
The Legend of Bagger Vance,['USA'],6.7,$30.70M,2000
Space Cowboys,['USA'],6.4,$90.45M,2000
28 Days,['USA'],6.0,$37.04M,2000
Get Carter,['USA'],5.1,$14.97M,2000
Best in Show,['USA'],7.5,$18.62M,2000
Titan A.E.,['USA'],6.6,$22.75M,2000
Dracula 2000,['USA'],4.9,$33.00M,2000
Shanghai Noon,"['USA', 'Hong Kong']",6.6,$56.93M,2000
Rules of Engagement,"['UK', 'Germany', 'Canada', 'USA']",6.4,$61.32M,2000
Loser,['USA'],5.3,$15.46M,2000
The Watcher,['USA'],5.3,$28.93M,2000
Book of Shadows: Blair Witch 2,['USA'],4.0,$26.42M,2000
Return to Me,['USA'],6.9,$32.66M,2000
Mission to Mars,['USA'],5.6,$60.87M,2000
Snow Day,['USA'],5.0,$60.01M,2000
Rape Me,['France'],4.5,$0.01M,2000
The 6th Day,['USA'],5.9,$34.54M,2000
102 Dalmatians,"['USA', 'UK']",4.8,$66.94M,2000
The Skulls,"['USA', 'Canada']",5.6,$35.01M,2000
Romeo Must Die,['USA'],6.1,$55.97M,2000
Chopper,['Australia'],7.2,$0.23M,2000
Proof of Life,['USA'],6.2,$32.60M,2000
Whatever It Takes,['USA'],5.5,$8.74M,2000
Ginger Snaps,"['Canada', 'USA']",6.8,,2000
Finding Forrester,['USA'],7.3,$51.77M,2000
The Little Vampire,"['Germany', 'Netherlands', 'USA']",5.7,$13.56M,2000
Reindeer Games,['USA'],5.7,$23.36M,2000
100 Girls,['USA'],5.9,,2000
Harry Potter and the Sorcerer's Stone,"['UK', 'USA']",7.5,$317.56M,2001
The Lord of the Rings: The Fellowship of the Ring,"['New Zealand', 'USA']",8.8,$313.84M,2001
Donnie Darko,['USA'],8.1,$0.73M,2001
Pearl Harbor,['USA'],6.1,$198.54M,2001
Spirited Away,['Japan'],8.6,$10.05M,2001
A Beautiful Mind,['USA'],8.2,$170.71M,2001
Mulholland Dr.,"['France', 'USA']",8.0,$7.22M,2001
Black Hawk Down,"['USA', 'UK']",7.7,$108.64M,2001
Training Day,"['USA', 'Australia']",7.7,$76.26M,2001
Moulin Rouge!,"['Australia', 'USA']",7.6,$57.39M,2001
Ocean's Eleven,['USA'],7.8,$183.41M,2001
Amélie,"['France', 'Germany']",8.4,$33.20M,2001
Not Another Teen Movie,['USA'],5.7,$37.88M,2001
The Fast and the Furious,"['USA', 'Germany']",6.7,$144.51M,2001
Planet of the Apes,['USA'],5.7,$180.01M,2001
Hannibal,"['USA', 'UK']",6.8,$165.09M,2001
A.I. Artificial Intelligence,['USA'],7.1,$78.62M,2001
Save the Last Dance,['USA'],6.2,$91.04M,2001
Shrek,['USA'],7.9,$267.65M,2001
Bridget Jones's Diary,"['UK', 'France', 'USA', 'Ireland']",6.7,$71.50M,2001
"Monsters, Inc.",['USA'],8.1,$289.91M,2001
Enemy at the Gates,"['USA', 'France', 'Germany', 'UK', 'Ireland']",7.6,$51.40M,2001
Y Tu Mamá También,['Mexico'],7.7,$13.62M,2001
Legally Blonde,['USA'],6.2,$95.00M,2001
Zoolander,"['Germany', 'USA']",6.6,$45.16M,2001
Blow,['USA'],7.6,$52.94M,2001
A Knight's Tale,['USA'],6.9,$56.08M,2001
The Others,"['Spain', 'USA']",7.6,$96.47M,2001
Vanilla Sky,"['USA', 'Spain']",6.9,$100.61M,2001
The Princess Diaries,['USA'],6.2,$108.24M,2001
Spy Game,"['Germany', 'USA', 'Japan', 'France']",7.1,$0.03M,2001
Ghost World,"['USA', 'UK', 'Germany']",7.4,$6.20M,2001
The Royal Tenenbaums,['USA'],7.6,$52.35M,2001
Atlantis: The Lost Empire,['USA'],6.8,$84.04M,2001
Jurassic Park III,['USA'],5.9,$181.17M,2001
Sex and Lucia,"['Spain', 'France']",7.2,$1.49M,2001
Jay and Silent Bob Strike Back,['USA'],6.9,$30.06M,2001
Shallow Hal,"['USA', 'Germany']",5.9,$70.84M,2001
Wet Hot American Summer,['USA'],6.7,$0.29M,2001
Intimacy,"['France', 'UK', 'Germany', 'Spain']",6.2,$0.10M,2001
Lara Croft: Tomb Raider,"['USA', 'UK', 'Japan', 'Germany']",5.7,$131.14M,2001
The Mummy Returns,['USA'],6.3,$202.01M,2001
American Pie 2,['USA'],6.4,$145.10M,2001
Joe Dirt,['USA'],5.9,$27.09M,2001
Monster's Ball,['USA'],7.1,$31.25M,2001
Jeepers Creepers,"['Germany', 'USA']",6.1,$37.47M,2001
Frailty,"['USA', 'Germany']",7.3,$13.10M,2001
Scary Movie 2,"['USA', 'Canada']",5.3,$71.28M,2001
Thir13en Ghosts,"['USA', 'Canada']",5.5,$41.87M,2001
Spy Kids,['USA'],5.4,$112.69M,2001
Original Sin,"['France', 'USA']",6.0,$16.25M,2001
Serendipity,['USA'],6.9,$49.97M,2001
The Piano Teacher,"['Austria', 'France', 'Germany']",7.4,$1.90M,2001
I Am Sam,['USA'],7.6,$40.27M,2001
Super Troopers,['USA'],7.1,$18.49M,2001
From Hell,['USA'],6.8,$31.60M,2001
The Wedding Planner,"['Germany', 'USA']",5.2,$60.40M,2001
The Glass House,['USA'],5.8,$17.95M,2001
Hard Ball,"['USA', 'Germany']",6.3,$40.22M,2001
The Score,"['USA', 'Germany']",6.8,$71.07M,2001
Rush Hour 2,"['USA', 'Hong Kong']",6.6,$226.14M,2001
Bully,"['USA', 'France', 'UK']",7.0,$0.51M,2001
Along Came a Spider,"['USA', 'Germany', 'Canada']",6.3,$74.06M,2001
Rat Race,['USA'],6.4,$56.61M,2001
Ali,['USA'],6.8,$58.18M,2001
K-PAX,"['USA', 'Germany']",7.4,$50.17M,2001
Evolution,['USA'],6.0,$0.01M,2001
Hedwig and the Angry Inch,['USA'],7.8,$3.03M,2001
Riding in Cars with Boys,['USA'],6.5,$29.78M,2001
Waking Life,['USA'],7.8,$2.89M,2001
Rock Star,['USA'],6.2,$16.99M,2001
The Man Who Wasn't There,"['USA', 'UK']",7.6,$7.49M,2001
The Believer,['USA'],7.2,$0.41M,2001
Don't Say a Word,"['USA', 'Australia', 'Switzerland', 'Canada']",6.3,$55.00M,2001
Bubble Boy,['USA'],5.6,$5.00M,2001
Gosford Park,"['UK', 'USA', 'Italy']",7.3,$41.30M,2001
Ghosts of Mars,['USA'],4.9,$8.43M,2001
Lagaan: Once Upon a Time in India,['India'],8.2,,2001
Swordfish,['USA'],6.5,$69.77M,2001
Summer Catch,['USA'],4.9,$19.69M,2001
How High,['USA'],6.3,$31.16M,2001
Kate & Leopold,['USA'],6.4,$47.10M,2001
Behind Enemy Lines,['USA'],6.4,$59.07M,2001
Jason X,"['USA', 'Canada']",4.4,$12.61M,2001
The Mexican,['USA'],6.1,$66.81M,2001
Josie and the Pussycats,"['Canada', 'USA']",5.3,$14.25M,2001
The Devil's Backbone,"['Spain', 'Mexico', 'France', 'Argentina']",7.5,$0.75M,2001
Heartbreakers,['USA'],6.2,$40.33M,2001
Kabhi Khushi Kabhie Gham...,['India'],7.5,,2001
In the Bedroom,['USA'],7.5,$35.92M,2001
Sweet November,['USA'],6.7,$25.18M,2001
Out Cold,['USA'],6.3,$13.90M,2001
Osmosis Jones,['USA'],6.2,$13.60M,2001
Shaolin Soccer,"['Hong Kong', 'China']",7.3,$0.49M,2001
Baby Boy,['USA'],6.4,$28.73M,2001
Joy Ride,['USA'],6.6,$21.97M,2001
Freddy Got Fingered,['USA'],4.5,$14.25M,2001
Get Over It,['USA'],5.8,$11.56M,2001
Kiss of the Dragon,['France'],6.6,$36.83M,2001
Black Knight,['USA'],4.8,$33.42M,2001
xXx,['USA'],5.8,$141.20M,2002
Resident Evil,"['UK', 'Germany', 'France', 'USA']",6.7,$39.53M,2002
The Ring,"['USA', 'Japan']",7.1,$128.58M,2002
Gangs of New York,"['USA', 'Italy']",7.5,$77.68M,2002
A Walk to Remember,['USA'],7.4,$41.23M,2002
Spider-Man,['USA'],7.3,$403.71M,2002
Signs,['USA'],6.7,$227.97M,2002
Harry Potter and the Chamber of Secrets,"['UK', 'USA', 'Germany']",7.4,$261.97M,2002
City of God,"['Brazil', 'France']",8.7,$7.56M,2002
Catch Me If You Can,"['USA', 'Canada']",8.0,$164.44M,2002
Star Wars: Episode II - Attack of the Clones,['USA'],6.7,$310.68M,2002
The Pianist,"['France', 'Poland', 'Germany', 'UK']",8.5,$32.52M,2002
The Lord of the Rings: The Two Towers,"['USA', 'New Zealand']",8.7,$340.48M,2002
28 Days Later...,['UK'],7.6,$45.06M,2002
Die Another Day,"['UK', 'USA']",6.1,$160.20M,2002
Irreversible,['France'],7.4,$0.75M,2002
Chicago,"['USA', 'Germany', 'Canada']",7.2,$170.68M,2002
Minority Report,['USA'],7.7,$132.01M,2002
Road to Perdition,['USA'],7.7,$104.05M,2002
The Bourne Identity,"['USA', 'Germany', 'Czech Republic']",7.9,$121.47M,2002
Scooby-Doo,"['USA', 'Australia']",4.9,$153.29M,2002
8 Mile,"['USA', 'Germany']",7.0,$116.72M,2002
Red Dragon,"['Germany', 'USA']",7.2,$92.93M,2002
Unfaithful,"['USA', 'Germany', 'France']",6.7,$52.75M,2002
The Count of Monte Cristo,"['UK', 'USA', 'Ireland']",7.7,$54.23M,2002
Secretary,['USA'],7.1,$4.05M,2002
Insomnia,"['USA', 'Canada']",7.2,$67.26M,2002
We Were Soldiers,"['USA', 'Germany']",7.1,$78.12M,2002
Sweet Home Alabama,['USA'],6.2,$127.21M,2002
Van Wilder,"['Germany', 'USA']",6.4,$21.01M,2002
Blade II,"['USA', 'Germany']",6.7,$81.65M,2002
Lilo & Stitch,['USA'],7.2,$145.77M,2002
About a Boy,"['UK', 'USA', 'France', 'Germany']",7.1,$40.57M,2002
Equilibrium,['USA'],7.5,$1.19M,2002
Panic Room,['USA'],6.8,$95.31M,2002
Reign of Fire,"['USA', 'UK', 'Ireland']",6.2,$43.06M,2002
Cabin Fever,['USA'],5.6,$21.16M,2002
Frida,"['USA', 'Canada', 'Mexico']",7.4,$25.78M,2002
The Hours,"['USA', 'UK']",7.6,$41.60M,2002
Ying xiong,"['China', 'Hong Kong']",7.9,$0.08M,2002
My Big Fat Greek Wedding,"['Canada', 'USA']",6.6,$241.44M,2002
Adaptation.,['USA'],7.7,$22.25M,2002
Star Trek: Nemesis,['USA'],6.4,$43.12M,2002
Ice Age,['USA'],7.6,$176.39M,2002
Ken Park,"['USA', 'Netherlands', 'France']",5.9,,2002
The Time Machine,['USA'],5.9,$56.68M,2002
Bend It Like Beckham,"['UK', 'Germany', 'USA']",6.7,$32.54M,2002
Treasure Planet,['USA'],7.1,$38.12M,2002
Blue Crush,"['USA', 'Germany']",5.6,$40.12M,2002
The Sum of All Fears,"['USA', 'Germany']",6.4,$118.47M,2002
Maid in Manhattan,['USA'],5.1,$93.82M,2002
Austin Powers in Goldmember,['USA'],6.2,$213.08M,2002
The Transporter,"['France', 'USA']",6.8,$25.30M,2002
Men in Black II,['USA'],6.1,$190.42M,2002
The Hot Chick,['USA'],5.5,$35.02M,2002
The Scorpion King,"['USA', 'Germany', 'Belgium']",5.5,$90.34M,2002
Punch-Drunk Love,['USA'],7.3,$17.79M,2002
Murder by Numbers,['USA'],6.1,$31.87M,2002
Ghost Ship,"['USA', 'Australia']",5.5,$30.08M,2002
